id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1778209087173370331,"@JoeBiden Biden bragging about the bill trump put into effect after biden put a stop to it, changed it so his friends make more money off the taxpayer and put his name on it: https://t.co/EGHnwcEybF",04-10-2024,0,0,0,4,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1775242994955792823,"Hello. My name is Sarah. 👋

Donald Trump called me an animal today. 🤦‍♀️

I’ll be voting @JoeBiden in November. I hope you will too. ❤️🇺🇸 https://t.co/p2x5ulJbMT",04-02-2024,672,1818,3864,100568,241,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209081766863314,@JoeBiden’s #Bidenomics   I got this great pepperoni pizza at the local pizza joint.  Only $22.50.  Great job Joe. https://t.co/satBfEkZha,04-10-2024,0,0,0,10,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210739250987135,Ran across these screengrabs from 2021. God bless the #Queen. God Bless the #King. @RoyalFamily @JoeBiden https://t.co/v1OPBfX1H2,04-10-2024,0,0,1,45,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210456223576516,"Maybe #JoeBiden should be less concerned about @RobertKennedyJr taking away a few votes, but more concerned with #RFKJr out right getting more votes in November than #potus @JoeBiden https://t.co/Qj0EXNUg66",04-10-2024,0,0,0,50,0,29.8384948,-95.44648649999999,Gorgia,Democratic,JoeBiden,JoeBiden
1774140208792969339,I just voted in my first presidential primary — proudly for @JoeBiden! 🥳🗳️ https://t.co/z5dXqb3vlJ,03-30-2024,1133,3601,12955,294103,186,,,Gorgia,Democratic,JoeBiden,JoeBiden
1773528972904546378,“Dark Brandon is here!” - @JoeBiden https://t.co/Zoty07W1Kf,03-29-2024,405,1582,3713,70821,57,,,Gorgia,Democratic,JoeBiden,JoeBiden
1774157172399608215,"From record-breaking job growth to expanding health care coverage, @JoeBiden has spent each and every day working on behalf of the American people. I can’t say the same about the guy running against him. https://t.co/j8UGubL6aF",03-30-2024,21031,26492,101993,11878763,1837,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209214235848966,"@C17HydroFCC @JoeBiden Lol 😂 🥳
How long did you think about that reply before you embarrassed yourself… https://t.co/vSkLmrEalA",04-10-2024,0,0,0,12,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1773517022804029951,"Here they are: @JoeBiden, @BarackObama, and @BillClinton https://t.co/eq9GS95lO2",03-29-2024,517,544,3459,59042,61,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778208917891563532,YOU ARE RIGHT JOE.. you certainly are stuck in the 20th Century.. and still a Senator… @JoeBiden https://t.co/UW111vAoTP,04-10-2024,0,1,0,46,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1773521578870935733,The Presidents are here @POTUS @JoeBiden @BillClinton @BarackObama https://t.co/OFQTM2nkzV,03-29-2024,884,799,4518,297955,173,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778211300499165192,"@qt_on_duty2006 @YouTube @JoeBiden hates the negroes+ @POTUS is4 the erasure of those  negroes!
So a black kid in Delaware beat Joe, Jack Johnson style &amp; took his 304 1day!
#jimcrowjoe never 4got that loss &amp; vowed 1 day 2 get revenge on all blk🇺🇸's This is a true story! MoviePoster. Trailer out dis suma! https://t.co/j0XgRNxwLJ",04-10-2024,0,0,1,19,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778207544688984080,@MichaelBaker38 @RichLaRouche @LangmanVince @JoeBiden This your man’s? https://t.co/x0Q85z6JBG,04-10-2024,0,1,0,25,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210810546065675,@JoeBiden What about the unborn woman’s right to life? No answer for that?,04-10-2024,0,0,0,2,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210922638508301,@JoeBiden No it's about legalized murder.,04-10-2024,0,0,0,1,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209809390571549,@Scottreagan1963 @JoeBiden It should be,04-10-2024,0,2,1,12,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1776377297190166859,Thanks @JoeBiden 😎 https://t.co/YUVpHaShnQ,04-05-2024,747,724,2646,55229,52,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210005977625069,@bomalley @JoeBiden @TexasCentral I would use this train.,04-10-2024,0,1,39,2951,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1775277963787067800,"Illegal Aliens receive 7 times more cash benefits than our military families.

Remember that the next time @RubenGallego pretends to care about our veterans.

Instead of putting our money where his mouth is, he and @JoeBiden are giving it to illegal immigrants. https://t.co/E2YiaUgPIe",04-02-2024,4830,422,9563,178348,185,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210412233654531,"@JoeBiden This is one of the most appalling racist thing I've ever listened to. It's disgusting.
Listen for yourself https://t.co/D964SoeW14",04-10-2024,13,3,65,1188,6,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778211341666275629,@JoeBiden Consumer Prices up 3.5%. https://t.co/C5wsaMzNeS,04-10-2024,0,0,0,4,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209289842389117,"@JoeBiden Men can get pregnant too, right?",04-10-2024,0,0,0,1,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209937992094138,@JoeBiden How the fuck would you know…Cornpoop 🌽💩,04-10-2024,0,0,0,4,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1776375534923968878,"In 2020, people voted in record numbers. Since then, @JoeBiden and I:

—Capped the cost of insulin at $35 a month for our seniors 
—Have forgiven nearly $144 billion in student loan debt for over 4 million people
—Helped create record job growth

In 2024, let’s finish the job. https://t.co/Lot7mlKFCl",04-05-2024,1765,4831,7532,446585,217,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778211220916498559,Way to go @joebiden and the liar @BarackObama. What happened to women’s empowerment? The Taliban just like Hamas is a scourge on earth. Should dealt appropriately with these sub humans a long time ago! https://t.co/9hrCYwsUjt,04-10-2024,0,0,0,42,0,31.1688935,-100.0768885,Gorgia,Democratic,JoeBiden,JoeBiden
1778209565827649938,"Hey, Congressman @JamesComer . Why aren't you PERSONALLY walk over to the DOJ, WALK IN &amp; DEMAND THAT AUDIO OF THE 5 HOUR INTERVIEW WITH the CRIMINAL @JoeBiden ? Just dony understand such an accepted ""POKE IN YOUR EYE"" BY THE DOJ!! DO SOMETHING ABOUT IT! STAND UP!",04-10-2024,0,0,0,12,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1777709405737263319,"If Trump has the opportunity to sign a national abortion ban, he will. 

If Congress passes a law restoring the reproductive freedoms of Roe, @JoeBiden will sign it.

The contrast could not be clearer. https://t.co/DPeSYUC7R2",04-09-2024,1968,4872,6746,386883,241,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778208992919187775,"So the #BidenClownShow @JoeBiden @POTUS was a LAW PROFESSOR now also.
LMAO at this embarrassment to America.",04-10-2024,0,0,0,5,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1776354530478760104,"We know Trump wants a national abortion ban.

We must keep fighting like hell to ensure women like @EvaBurchAZ have access to safe and legal reproductive health care. That means voting for @JoeBiden, @KamalaHarris, and pro-choice candidates up and down the ballot this November! https://t.co/z1cGawoCGr",04-05-2024,1017,1420,3887,444523,85,,,Gorgia,Democratic,JoeBiden,JoeBiden
1774172519114678503,"Donald Trump has made clear his fight is not for the people. He fights for himself.

President @JoeBiden and I are guided by a fundamental belief: We work for you, the American people. https://t.co/gAsL5IUbcp",03-30-2024,2930,12794,16023,980502,610,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209129267437697,"Anyone else notice how if you take the @JoeBiden admin statements at face value instead of the Goebbels level genocide apologia they are, specifically from John Kelly, we:

- have determined Israel has never done anything wrong ever
- have zero evidence they intentionally (1/2)",04-10-2024,0,1,0,20,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778208234882613616,@Pismo_B @JoeBiden Castration or male sterilisation is the only answer,04-10-2024,1,1,5,105,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1776052951909543968,"Grocery prices are up 36.5% overall since 2019 because of the Bidenomics policies that @RubenGallego rubber stamps.

📈Eggs +63%

📈Sugar +38% 

📈Dish Soap +46% 

📈 Sandwich Bread + 34%

📈 Cereal +29% 

My America First polices will help fix the mess that @JoeBiden & Ruben created.

We will curb inflation & make basic goods affordable again.
https://t.co/n9sTePA3lC",04-05-2024,2423,561,5647,133097,75,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778211151123288494,@JoeBiden Blah blah blah.  Secure the border.,04-10-2024,0,0,0,3,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1774874142375825517,The week is off to an egg-cellent start with President @JoeBiden and @DrBiden kicking off the Easter Egg Roll! https://t.co/cSRaqOUcMV,04-01-2024,377,816,2494,62422,30,,,Gorgia,Democratic,JoeBiden,JoeBiden
1776434609154408607,"You literally just accused @JoeBiden of sowing division @TheRock.  Meanwhile, there's this other candidate who LITERALLY TRIED TO OVERTURN THE RESULTS OF THE ELECTION WITH VIOLENCE!!

So where's THAT statement??",04-06-2024,1434,1354,9143,199181,106,,,Gorgia,Democratic,JoeBiden,JoeBiden
1773745528326500792,"Life Update: I’m excited to announce that I'm taking on the biggest challenge of my life as the Florida State Director for @JoeBiden. @FlaDems, we know the road ahead won't be easy, but it will definitely be worth it!🌟 #TeamBiden #FloridaDemocrats #GoodFriday",03-29-2024,827,257,4314,194091,48,27.698681999999998,-83.804475,Gorgia,Democratic,JoeBiden,JoeBiden
1778211301061525763,"September 30, 2021 - @JoeBiden signs legislation that would extend funding for the U.S. government through December 3, thereby avoiding a government shutdown. Government funds were due to run out at midnight   #MercuryRetrograde
https://t.co/IcKoqBbuWw https://t.co/YAjoBwsRBy",04-10-2024,0,1,0,13,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778210806728991195,@PontificatingS @mattchoobob @alangrodz @VoteBidenOut @JoeBiden A president's economic policies affect markets and the economy in one way or another. Good policies affect in a positive manner and vice versa for bad policies which explains the current economic debacles we are seeing solely due to vegetable's bad and failed policies.,04-10-2024,0,1,1,24,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1774119401182433592,"If you plan to vote for @JoeBiden, I want you to reply with #VoteForBiden to get it trending, retweet this and follow me. Don't scroll away without liking to have good etiquette. https://t.co/JR9NwLYhmR",03-30-2024,1432,1346,3638,296812,360,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209483556262230,@JoeBiden Abortion is not a right.,04-10-2024,0,1,0,74,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
1778209177812324361,@RaymondRed1971 @JoeBiden So sad…,04-10-2024,0,0,0,4,0,,,Gorgia,Democratic,JoeBiden,JoeBiden
