id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1778208921339256943,"@Walpurgis01 @dinga_dave @therealZNO @JoeBiden Yeh but this one was something women and men for that matter relied on and now all of a sudden in some states it’s just gone.
Drs are scared to practice in some states.",04-10-2024,0,2,0,15,0,38.5617218,-121.469664,Nevada,Democratic,JoeBiden,JoeBiden
1778207341856624860,@Walpurgis01 @dinga_dave @therealZNO @JoeBiden I don’t know saying women have different rights depending on where they are born or where they move to seems unpopular,04-10-2024,0,2,0,18,0,38.5617218,-121.469664,Nevada,Democratic,JoeBiden,JoeBiden
1778202791892431313,@JoeBiden There's no human right to kill unborn children.,04-10-2024,1,1,7,106,0,36.830799,-119.636189,Nevada,Democratic,JoeBiden,JoeBiden
1778198553430782061,"@JoeBiden Reality with Trump is SO much better than reality under Biden. 

Trump 2024 🇺🇸",04-10-2024,0,0,0,6,0,37.980826,-121.3004253,Nevada,Democratic,JoeBiden,JoeBiden
1778197307223372277,"@Walpurgis01 @dinga_dave @therealZNO @JoeBiden Like I said good luck winning elections with these 1950’s policies.
When put on the ballot in deep red states it is clear women don’t take kindly to getting their rights taken away.",04-10-2024,0,1,0,21,0,38.5617218,-121.469664,Nevada,Democratic,JoeBiden,JoeBiden
1778178059763654868,"@AngelaBelcamino @POTUS Great. 

I hope @JoeBiden @KamalaHarris and the @DNC use that as their official campaign slogan. #Bidenflation #Bidenomics https://t.co/X0rAZF4hMg",04-10-2024,0,0,3,25,0,36.0609645,-115.1351649,Nevada,Democratic,JoeBiden,JoeBiden
1778137268160700661,That is why I jumped at the opportunity to join team @BidenHQ! @JoeBiden &amp; @KamalaHarris have had our backs &amp; now it’s time for us to have theirs! I am proud to be #OutForBiden today &amp; everyday!! We have come too far to go back now!! Join us by texting Out to 30330 4/4 https://t.co/vBLrKyry3s,04-10-2024,0,0,2,40,0,39.5742163,-119.71069449999999,Nevada,Democratic,JoeBiden,JoeBiden
1778137260724199623,"As president, @JoeBiden signed the Respect for Marriage Act &amp; is fighting for the Equality Act. His opponent on the other hand uses the same tired rhetoric to demonize LGBTQ+ folks that the right has for decades &amp; if give the chance would strip us of our rights! 3/4",04-10-2024,0,1,2,38,0,39.5742163,-119.71069449999999,Nevada,Democratic,JoeBiden,JoeBiden
1778137259264582127,"Hearing those words coming from the president convinced me that there was something wrong with me, there had to be. 

Flash forward to now, we have a President &amp; Vice President in @JoeBiden &amp; @KamalaHarris who have been champions of LGBTQ+ rights long before it was popular. 2/4",04-10-2024,0,1,2,69,0,39.5742163,-119.71069449999999,Nevada,Democratic,JoeBiden,JoeBiden
1778122858910409076,"This statement is a joke! Progress is not taking life of a baby, progress is not a society that turns a blind eye to crime with no accountability. Progress is not censorship of social media and radio. Progress is not preventing political opponents. The most backward president in history is claiming we can’t go back!",04-10-2024,0,0,0,6,0,36.0609645,-115.1351649,Nevada,Democratic,JoeBiden,JoeBiden
