id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1824848476670418951,"ITS CHARLOTTE PRIDE TIME! #CLTpride 

#Harris2024 https://t.co/0nExwH8b5D",08-17-2024,0,0,6,366,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824944930520977501,"There’s shipments of “Fuck Biden” flags just arriving from China right now, and they’re worthless! I can’t laugh more!  Maybe next time print in the USA!

#BidenHarris2024 #American #Biden #DementiaDon #Harris2024 #MAGAMorons",08-17-2024,2,1,6,108,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824788811836006760,"Let’s fuck up this country once and for all!

#Harris2024 https://t.co/Iio7tZvzrl",08-17-2024,0,10,1,324,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824773214909661364,"Trump wants to be a Dictator. 

He will take away our rights.

Erase our country. 

Vote for America. #Harris2024

 https://t.co/p7miacjAeV",08-17-2024,0,1,0,32,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824810955991105623,"Fox News Reports: New York Times Unveils Latest Presidential Polling Data
#Trump2024 
#Harris2024 https://t.co/5gUdaNKJ4M",08-17-2024,0,0,1,22,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824949373178155399,"Forward!

#HarrisHQ #HarrisWalz #HarrisWalz2024 #Kamala #Harris #KamalaHarris #Harris2024 #Kamala2024   #Walz #TimWalz #Biden #Trump #MAGA #JDVance #Vance #Election #Elections #Election2024 #2024Election #Politics #Politik #Political #Vote #GOTV #PoliticalTikTok #California #Cali https://t.co/PLkqdOOwzF",08-17-2024,0,0,0,7,0,32.8100122,-117.10498915,Georgia,Democratic,KamalaHarris,#Harris2024
1824867366741930045,"Just curious 

#Trump2024 #Harris2024",08-17-2024,0,5,10,849,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824690281427636669,😂  like be more true. #BlackMenForHarris #TrumpIsDone #Trump2024 #harris2024 #HarrisForPotus2024 https://t.co/yJXlemoxBS,08-17-2024,0,0,1,24,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824743064017220075,"🔴🎙️NEW EPISODE—THE POLITICRAT daily #podcast

VP @KamalaHarris’ Speech On Economic Policy; Pres. Biden On 116-Year Mark Of White Terrorism Against Black People In Springfield; Voter Registration Deadlines: DE, FL, GA, HI

https://t.co/6ESRf75zRo

#Harris2024 #HarrisWalz2024 https://t.co/da9UnBnXHH",08-17-2024,1,0,0,145,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824820530341671219,#Harris2024 to Finish the Job🇺🇸✔️https://t.co/Lw66y8rSB7,08-17-2024,0,0,0,3,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824794849490423992,"Kamala Harris continues to lead with strength and compassion, working tirelessly to build a brighter future for all Americans. Together, we can achieve great things. Support $HARRIS! 🇺🇲 #Harris2024 https://t.co/cSq6mf1wF1",08-17-2024,12,23,50,2637,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824914950139302091,"Nebraska Boxtory Rally with Tim Walz for the Harris-Walz Campaign

Let's gooooo!🎊#NotGoingBack 
#Harris2024 
❤️🙏😎🇺🇲 https://t.co/i3SmzLB49v",08-17-2024,1,0,1,126,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824665307387937179,"Swifties for Trump? 
If that's true, you are truly misguided.
#WeAreNotGoingBack 
#KamalaHarris #HarrisForPOTUS #HarrisForPotus2024 #KamalaHarris2024 #HarrisWalz2024 #HarrisWalz #Harris2024 #VoteHarrisWalz2024 #VoteHarrisWalz #TimWalz #KamalaHasMyVote #KamalaHarris #VetsForVPWalz https://t.co/t2K6lFHPKl",08-17-2024,3,0,4,47,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824865103591985426,"And so did she!

#Harris2024 https://t.co/wX3CRw1whD",08-17-2024,0,1,1,97,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824889026417172799,"It think it's time to remind you all that...
#Kamala2024 #KamalaHarris #KamalaHarris2024 #KamalaHasMyVote #KamalaBringingDownTheDon #Kamala4President2024 #Harris2024 #Harris2024ForTheWin #HarrisAndWhoeverSheChooses2024 #HarrisWalz #HarrisWalz2024 https://t.co/NeNW0trPzW",08-17-2024,0,0,0,27,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824881722250424371,"🌎️ Navigate Global Shifts and World Events with Astrological Clarity 
➡️ Join the Global Transformation Astrology (GTA) Membership 
https://t.co/BsgM34OOAb

#astrology #globalastrology #politicalastrology #2024election #harris2024 #trump2024 https://t.co/MRLQxadoIm",08-17-2024,1,0,4,550,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824815638868607141,"Kamala Harris Economic Program Labeled 'Kamunism' on New York Post Front Page
#Kamunism 
#Harris2024 
#Communist https://t.co/zD6wBlZlkD",08-17-2024,0,0,1,101,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824884301441454187,St. Andrew the Apostle parishioner: Biden’s border policies are not in 'the spirit of true immigration' | SE Arizona News #AzNews #Arizona #ArizonaNews #Harris2024 #Trump2024 #BorderSecurity #Immigration #KamalaHarris #BorderCzar  https://t.co/RNCcyOrBDs,08-17-2024,0,0,1,44,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1824701855416586733,#CruzShame Can someone be as dumb as Cruz legally?  BREAKING:  Biden - Harris has been drilling more oil than Trump did ? 😂🤣😂 #TrumpFatElvisStage #WeirdTrump #RepublicansForHarris #harris2024,08-17-2024,0,0,0,29,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832610424937644355,"Another great endorsement.

#Obama #ObamaEndorsement #Trump #Trump2024 #Obama4Trump #Maga #Maha #Vote #Harris2024 https://t.co/tzleQi1wws",09-08-2024,8,1,13,499,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832900296084742385,"📸 “Control guns, not girls.” 🙄

The contrast between Trump and Harris in the 2024 race is clear: we need a leader who prioritizes safety and empowerment.
Let’s rally for a future that values lives over politics! 🥂💥

#ControlGunsNotGirls #Harris2024 #EnoughIsEnough https://t.co/ZBHhi1IPsL",09-08-2024,1,1,4,78,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832583892919861330,"LFG means Let’s F-ing Go! https://t.co/HAjGBVid63
On Etsy: https://t.co/94JP6j4HcJ

In our store: https://t.co/9LetaUiezl

#LFG #LetsFuckingGo #Sports #Football #Baseball #KamalaHarris #Harris2024 #VicePresidentHarris #HarrisCampaign #HarrisforPresident https://t.co/svaHzxUZMT",09-08-2024,1,0,0,40,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832845030899515619,"To finally do something about guns, we all need to VOTE BLUE to make sure the house, senate, and President are Democrats. #GunControlNow #guncontrol #antiNRA #DemocratParty #HarrisWaltz2024 #Harris2024 https://t.co/p4pjFissF0",09-08-2024,0,0,0,20,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832666558599929957,"Serious question: Are you ready to stop Trump and MAGA from staging a coup when he loses to Kamala?
#BlueTsunami2024 #Harris2024 #TrumpForPrison2024 #MAGACult #PowerToThePeople #NotMeUs #WeWillNotGoBack #TrumpIsToast https://t.co/HlX5HhKOmc",09-08-2024,0,0,1,25,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832623838925926828,LOVE my new shirt! Myself &amp; my 73 year old grandparents will be voting for the first time EVER in a presidential election! So proud we are doing this together! And from our VERY red Texas town!💜💪🏻 #Harris2024 #kamalaharris #election #democrats #wearentgoingback #TurnTexasBlue https://t.co/Frs0F06MFE,09-08-2024,0,2,0,39,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832764784581784005,"@KamalaHarrisERC $HARRIS will send 🚀

https://t.co/4iJDls6L0P

#Harris2024 #KamalaHarris #MAGA $TRUMP #PolitiFi https://t.co/d1uy8gL3ee",09-08-2024,2,0,1,91,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832647142252421199,Politics are showing how much ignorance there is in the world … you fuckers are so dumb &amp; I wish you’d save yourselves… but I understand common sense isn’t so common. You still have time to educate yourself (from the correct sources). VOTE #Harris2024,09-08-2024,0,0,0,14,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832794093925101835,"Kamala Harris has spent her career fighting for justice and equality. 

Imagine a future where her leadership guides our country toward progress. 

#Harris2024 #RealMenVoteBlue https://t.co/5JeEn6QMaj",09-08-2024,0,0,1,9,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
1832718164871782782,BREAKING: Harris campaign blames Trump for the failed Afghanistan withdrawal. #Harris2024 #Afghanistan #Trump https://t.co/30EImg0ivy,09-08-2024,0,1,0,24,0,,,Georgia,Democratic,KamalaHarris,#Harris2024
