id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1819813813019123981,We all knew the Cowardly Felon would back out. #Harris2024 #Debate2024 #CowardTrump #TrumpIsWeird,08-03-2024,0,0,0,12,0,37.2691755,-119.30660750000001,Nevada,Democratic,KamalaHarris,#Harris2024
1825520287267594315,"This criminal conman must never be near power again. #dictator #Harris2024

 https://t.co/n9VFY0iZoK",08-19-2024,0,0,0,26,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825628120378126800,"Can I get 125 new followers before #DNCConvention2024 kicks off in a few hours?

My goal has been 5,000 before the opening speech and I'm so close!! Who from my #bluecrew can put me over the top?

Let's win this together!! 💙 #Harris2024",08-19-2024,3,4,6,347,1,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825681145864073486,"He was part of the orange cult. In 2022 he saw the light. He is now voting for Vice President Kamala Harris and urges fellow Republicans to vote for her. “It is never too late to change your mind…and do what is right.”

#DemConvention #Harris2024 #HarrisWalz2024 https://t.co/7UV5EsReZM",08-19-2024,0,0,0,59,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825528119178223647,Charlotte pride was so fun! #harris2024 #cltpride https://t.co/hkYbrdv0vB,08-19-2024,0,0,2,295,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825621334271078579,"🎙️🔴 NEW EPISODE—THE POLITICRAT daily #podcast

President Biden At The DNC Tonight; A Message For Gaza Anti-Genocide Protesters; Voter Registration Deadlines For KS, KY, LA

https://t.co/dZc2PtGG4V

#Harris2024 #HarrisWalz2024 https://t.co/RbzVgD0GL1",08-19-2024,1,0,0,128,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825546081058611562,"Relax 
stable diffusion/photoshop/ipad #Election2024 #DonaldTrump #Trump #Harris2024 #HarrisWalz2024 #Obama #POTUS #USA #RFKJR2024 #TrumpVance2024 #DNC #DNC2024 https://t.co/lAqUMd7zbB",08-19-2024,0,0,2,130,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825604466713964877,"Israel365News: ""Harris Campaign Courts Anti-Semitic/Anti-Israel  Figures""  #Israel #Harris2024 #HarrisWalz #USPolitics https://t.co/xAkNMiCwJI",08-19-2024,4,0,9,738,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825670494055706715,"As we celebrate the #DNC, I made this video of the TRUMP campaign sinking like the titanic! Let me know what you think in the comments. 
#TrumpIsDone #Harris2024 #Titanic https://t.co/qqqEYBxRrI",08-19-2024,5,3,14,1163,2,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825660226655367476,"Part of conservative Republican federal judge @judgeluttig’s statement that he will vote for Vice President @KamalaHarris. 

Statement in full here:

https://t.co/Ln1Nxs3FD4

#Harris2024 #HarrisWalz2024 https://t.co/JtmsEmAWSa",08-19-2024,0,0,0,91,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825493324276343220,"I’m a real pessimist when it comes to politics. When people yell “vote blue no matter who” I get flashbacks.

But I’m really warming up to Harris/Walz

Wreck Trump’s shit. You have my vote in the bag!

#Harris2024 #Walz2024",08-19-2024,1,0,3,31,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825643361824289074,"Obama’s back in town…
stable diffusion/runway/photoshop/ipad #Election2024 #DonaldTrump #Trump #Harris2024 #HarrisWalz2024 #Obama #POTUS #USA #RFKJR2024 #TrumpVance2024 #DNC #DNC2024 https://t.co/dePC6FXmyr",08-19-2024,0,0,3,213,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825359214254149664,"See how #KamalaHarris takes the oath of office? She’s not like other candidates—she takes that oath seriously. Just as she will as your next president, serving up leadership with a side of grace! It’s #VeryClassy, #VeryMindful, #VeryDemure. #HarrisWalz2024 #Harris2024 https://t.co/by0PZIST0m",08-19-2024,0,0,0,29,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825554624423899151,"""There isn't a single thing about #Harris2024's campaign that's Communist"" https://t.co/vINUyzjLn2",08-19-2024,0,0,0,29,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825325891120947268,"When investors buy up all the houses, they horde the wealth. When a middle class family buys a house, it gives them stability. By investing in the middle class (like helping with the down payment), that gives the family more spending room which boosts the economy! #Harris2024",08-19-2024,1,0,1,62,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825648090491260945,"""There is nothing communist about #Harris2024's VP""",08-19-2024,1,0,2,68,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825615671230939329,"This seriously cannot be real….
#Harris #Harris2024",08-19-2024,0,0,0,22,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825534144895439035,- The armed wings of Hamas and Islamic Jihad claimed responsibility on Monday for a bomb blast near a synagogue in Tel Aviv #isreal #hamas #BidenHarris #Trump2024 #Harris2024 https://t.co/vNCjFrdjKv,08-19-2024,1,0,1,218,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825374776015417693,#KamalaHarris is #Brat New @KamalaHarris hats designed by @tttheartist  now available https://t.co/mC5CV8w5ee A portion of the proceeds will go towards donating to the #Harris2024 campaign https://t.co/itM5x3fVHh,08-19-2024,0,0,0,125,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1825545359546007738,"""Charting a new way forward from my current conflagration"" - #Harris2024",08-19-2024,0,0,0,24,0,,,Nevada,Democratic,KamalaHarris,#Harris2024
1815245887385575721,"@mmpadellan He won't show up.
Because he's scared @&amp;^$less of @VP.
As he should be.

#Harris2024
#VoteBlueToSaveDemocracy
#VoteBlueToSaveAmerica",07-22-2024,0,0,0,5,0,38.119674,-121.278605,Nevada,Democratic,KamalaHarris,#Harris2024
1815245583764082979,"Who's crying?? 
You're crying.

Thank you, @POTUS @JoeBiden!

You deserved so much better.  

#Harris2024
#VoteBlueToSaveDemocracy
#VoteBlueToSaveAmerica",07-22-2024,0,0,0,19,0,38.119674,-121.278605,Nevada,Democratic,KamalaHarris,#Harris2024
1815245189725712746,"@notcapnamerica He's scared to death of @VP! As he should be. In a debate, she will devour his sorry self.

#Harris2024
#VoteBlueToSaveDemocracy
#VoteBlueToSaveAmerica",07-22-2024,0,0,1,4,0,38.119674,-121.278605,Nevada,Democratic,KamalaHarris,#Harris2024
1815205489812414638,"@BeschlossDC A felon, rapist, crook, misogynist, homophobe, xenophobe, bigot, stooge, malignant narcissist utterly lacking human compassion with no credentials, ability or inclination to lead.l

Otherwise, he's an ok guy.

#Harris2024
#VoteBlueToSaveDemocracy
#VoteBlueToSaveAmerica",07-22-2024,0,0,0,7,0,38.119674,-121.278605,Nevada,Democratic,KamalaHarris,#Harris2024
1817695918675943565,Can't wait to wear my shirt that I wore during the 2019 primaries 💪🇺🇸 #Harris2024 #Harris2024ForTheWin 💙 https://t.co/wSfzlFiLxP,07-28-2024,0,0,3,170,0,36.786041999999995,-119.7824645,Nevada,Democratic,KamalaHarris,#Harris2024
1817396943586570684,"@GeoffBrown82 GenJones here for #Harris2024 🥥🌴
#NotGoingBack",07-28-2024,0,0,0,4,0,36.786041999999995,-119.7824645,Nevada,Democratic,KamalaHarris,#Harris2024
