id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1833114058716791262,The Harris administration lied about the latest jobs report. Kamala Harris said bidenomics is working. #jobsreport #bidenomics #KamalaHarris #gaslighting #lying #robcarsonshow #obxjimmyg https://t.co/xUjcjZFdjc,09-09-2024,0,0,0,28,0,35.1704985,-79.86103374999999,Georgia,Democratic,KamalaHarris,#KamalaHarris
1832975438110704080,"@realDonaldTrump @elonmusk 

KJP and the #Biden administration say that crime is at all time lows. 

This is the first administration in US history where the FBI has not posted crime statistics.

#maga #donaldtrump #KamalaHarris  #joebiden https://t.co/I8gMMFoInP",09-09-2024,0,0,0,13,0,35.1704985,-79.86103374999999,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818784951954743599,Now #DonaldTrump is questioning #KamalaHarris race.  It's amazing that he doesn't put new chapters in his play book he just goes back and reads old ones. Ask #BarackObama!,07-31-2024,0,0,0,20,0,32.6782075,-83.1738665,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818733235918324111,"ELECTION 2024 NEWS ⚠️ At Kamala Harris’ rally in Atlanta, #MeganTheeStallion failed to energize the crowd while performing “Savage.” Despite provocative lyrics, the audience remained indifferent. As #KamalaHarris took the stage, many attendees began to leave, indicating that a large portion of the audience had come primarily for Megan Thee Stallion.

#KamalaHarris #AtlantaRally #MeganTheeStallion #Election2024 #PoliticalRally #CrowdReaction #BreakingNews #USPolitics",07-31-2024,0,1,0,339,0,33.7671944,-84.433106,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818726036646793614,"TODAY 7.31.24 #harrisforpresident rally #CharlestonSC 
#Kamala4President2024 #kamalaharris https://t.co/qE88DrdqUs",07-31-2024,0,0,0,25,0,32.770073550000006,-80.007367,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818634097192734899,"I made some signs!

#kamala #Harris #kamalaharris #harris2024 #savedemocracy #georgia #ATL #Atlanta https://t.co/NB6DtY75xC",07-31-2024,0,1,1,152,0,33.77220765,-84.29690615,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818631133191372966,"‘Cat ladies’ come together to show support for Kamala Harris #KamalaHarris #DonaldTrump #Democrats #Presidentialelection
https://t.co/x0wNzlqpWV",07-31-2024,0,0,0,17,0,35.209058999999996,-80.8467855,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818628381329834469,"Trump Loses It Over Devastating Fox News Poll on Kamala Harris #KamalaHarris #DonaldTrump #FoxNews #Presidentialelection
https://t.co/qIfLiIOpz3",07-31-2024,0,0,0,28,0,35.209058999999996,-80.8467855,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818488114526007369,#MeganTheeStallion said she's the new Head Of Security for #KamalaHarris 👀🇺🇲🤣‼️ https://t.co/CeHazNAy8x,07-31-2024,1,0,2,144,0,33.5944885,-86.7653214,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818470870018302008,"Harris Wipes Out Trump’s Swing State Lead in New Poll #DonaldTrump #Wisconsin #JoeBiden #KamalaHarris #Democrats
https://t.co/k085qgiqVM",07-31-2024,0,0,0,33,0,35.209058999999996,-80.8467855,Georgia,Democratic,KamalaHarris,#KamalaHarris
1818454313049485742,(In my old southern voice) They Mad!  #WeWontGoBack #KamalaHasMyVote #Kamala4President2024 #KamalaHarris 🇺🇸  Voting for Donald is like signing our own Death Certificate.,07-31-2024,0,0,0,66,0,32.576227,-86.6807375,Georgia,Democratic,KamalaHarris,#KamalaHarris
1828197229602951641,"""The greatest trick the devil ever pulled was convincing the world he did not exist""
#KamalaHarris #HarrySUSsin #NoDiddy #MAGA2024  #CORRUPTION  #Democrats #Weird https://t.co/0TFlFfI2Pa",08-26-2024,0,0,1,6,0,32.770073550000006,-80.007367,Georgia,Democratic,KamalaHarris,#KamalaHarris
1828174629422215515,"Foo Fighters will donate to Kamala Harris after Trump used their song 'My Hero' #DonaldTrump #KamalaHarris #Presidentialelection
https://t.co/VVjTtT9pTC",08-26-2024,0,0,0,12,0,35.209058999999996,-80.8467855,Georgia,Democratic,KamalaHarris,#KamalaHarris
1828138452589912123,"#KamalaHarris 'last person in the room' video goes viral on 3rd anniversary of deadly Afghanistan attack #Kamala is not fit to be VP much less POTUS  

https://t.co/QsonMaobp4",08-26-2024,0,2,0,10,0,29.0923355,-81.0232725,Georgia,Democratic,KamalaHarris,#KamalaHarris
1828137847779688751,"#POTUS #Biden flies from one vacation to another after vowing to end Gaza war, with Middle East on the brink...and the supposed #VP #KamalaHarris is out campaigning 

https://t.co/w9LeE2KcR2",08-26-2024,0,0,0,13,0,29.0923355,-81.0232725,Georgia,Democratic,KamalaHarris,#KamalaHarris
1828074625575837762,"36 Days pushing her secret socialist agenda. The ""quiet"" campaign of #KamalaHarris #bidenbasementstrategy #hiddenagenda @dbongino @elonmusk https://t.co/VLDFMOtcpY",08-26-2024,0,0,0,48,0,32.6782075,-83.1738665,Georgia,Democratic,KamalaHarris,#KamalaHarris
1824554346169749864,"The resemblance is crazy 🤣 
What do y'all think?
.
#Election2024 #KamalaHarris #DonaldTrump https://t.co/VOgVhTrXWN",08-16-2024,0,0,0,30,0,,,Georgia,Democratic,KamalaHarris,#KamalaHarris
1824582722632712407,"#Kamala dancing to Tupac back in 1985 in college..🤣 

#KamalaHarris #Kamala #Trump2024 #Trump #Vance #Conservatives #Democrats #Communism #PriceGouging #Gauging #Inflation #Tupac https://t.co/w7kEWvvoqt",08-16-2024,0,0,1,158,0,,,Georgia,Democratic,KamalaHarris,#KamalaHarris
