id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1833655198083940585,"ICYMI 2020 - 'The Truths We Hold' Offers an Engaging Way to Meet Our Future VP (POTUS?!) Kamala Harris https://t.co/QcVrykvG8n by @bookwormsez Terri Schlichenmeyer 

#KamalaHarris
#VPHarris
#POTUSHarris
#KamalaHQ",09-10-2024,0,0,0,27,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833654142323044815,"Kamala should do Pretty good tonight.  She already has all the questions.

#PresidentialDebate2024 #Trump #KamalaHarris #Trump2024",09-10-2024,0,1,0,46,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833651366444556463,"As for me and mine, we’re with Jesus. 

Want more? Check out ‘Which Side Are You On?’ on my Youtube channel today.

#AskingWhatDoesTheBibleSay #Biblicrat #Biblican #election2024 #debate #kamalaharris #donaldtrump https://t.co/emM8eBUCBT",09-10-2024,0,0,1,46,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833649040094851177,"TRG Watch Party - Trump vs. Harris Presidential Debate (9pm EST 01.45am UK) 
#TrumpVsKamala #TrumpVsHarris #PresidentialDebate #PresidentialDebate2024 #DonaldTrump #Trump2024 #Trump2024Vance #KamalaHarris #KamalaAndTim 

https://t.co/UbjAiuDlqc",09-10-2024,0,0,1,92,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833648662523588801,"I'm watching the Harris/Trump debate. Thank you @WagnerTonight and all at #MSNBC for your coverage and analysis. Go get him #KamalaHarris @KamalaHarris. 
#HarrisTrumpDebate https://t.co/iw3WtUFitX",09-10-2024,0,0,0,46,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833647644175892503,"Watching NPR/BBC &amp; a Republican says #KamalaHarris has to “PROVE,” herself to the American public…against a lying, sedition fomenting 34 count convicted felon. 😳",09-10-2024,2,2,6,48,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833647391141925028,"#Opinion: A #Vote for #KamalaHarris is a guarantee of continued loss of respect on the world stage, increase in #USA debt, More #BRICS nations, Destruction of the Dollar, Collapse of the #US #Economy, and putting is in the face of a #RedDawn scenario as our enemies attack! #Trend",09-10-2024,1,0,0,33,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833644546728567292,"EVERYONE...  ITS A RECORD!

Kamala is the first Presidential candidate, to never have any delegates vote for her since George Washington.

#PresidentialDebate2024 #Trump #KamalaHarris #Trump2024 https://t.co/96Ie2Q5JZ8",09-10-2024,0,1,0,50,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833643489269039206,"@SebGorka Didn’t her ancestors OWN slaves?  
#KamalaHarris",09-10-2024,1,0,2,46,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
1833642948086349833,"Witness history in the making! U.S. Vice President Kamala Harris delivers a powerful speech before a packed crowd in Houston, Texas. Perfect for political and historical projects. 🇺🇸🎥 #KamalaHarris #Houston #PoliticalFootage #StockFootage #UnitedStates
https://t.co/iRHr964qYt",09-10-2024,0,0,0,21,0,,,Michigan,Democratic,KamalaHarris,#KamalaHarris
