id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1815113370389070041,What do you think #KamalaHarris nickname is going to be? #SleepyJoe #DonaldTrump https://t.co/F4B9ecCbku,07-21-2024,0,0,0,25,0,35.020416499999996,-81.1233575,NC,Democratic,KamalaHarris,#KamalaHarris
1815095536934125712,"Trump's Response...
#JoeBiden #Trump #KamalaHarris https://t.co/3z9v0gzEEI",07-21-2024,0,0,4,821,0,38.003375500000004,-79.42086499999999,NC,Democratic,KamalaHarris,#KamalaHarris
1815163814054162492,I support @KamalaHarris. #KamalaHarris2024 #KamalaHarris #VoteBlue https://t.co/3nSsU2wCXK,07-21-2024,0,5,8,172,0,38.5678492,-77.28995445000001,NC,Democratic,KamalaHarris,#KamalaHarris
1815105787972223056,Onward. @KamalaHarris #KamalaHarris https://t.co/N8WDYtJea7,07-21-2024,0,2,4,137,1,38.6852235,-77.3109195,NC,Democratic,KamalaHarris,#KamalaHarris
1824051410679341282,"PRE-GAMING the DNC Convention.
#Kamala4President2024
#KamalaHarris2024 #KamalaHarris

Anti-Israel protesters clash with law enforcement, unleash smoke bombs following Harris rally

https://t.co/3fev0tXv2U",08-15-2024,0,0,1,17,0,35.7804795,-78.38740390000001,NC,Democratic,KamalaHarris,#KamalaHarris
1828520814226087978,"[Video] Kamala Harris and Joe Biden skip Arlington Memorial Ceremony for the 13 troopers who died in Afghanistan on the 3rd anniversary Only 1 former president showed upHis name is Donald Trump #DonaldTrump #JoeBiden #KamalaHarris #Afghanistan
https://t.co/9VvvgHNpHu",08-27-2024,0,0,0,29,0,36.0871686,-80.244984,NC,Democratic,KamalaHarris,#KamalaHarris
1834742311437394163,#kamalaharris says nothing. No concrete policy. Babble,09-13-2024,0,0,0,7,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834742260090511622,@Damaan4u33 I feel the same way about #KamalaHarris - straight up HORROR show. https://t.co/6eDQbmP2a2,09-13-2024,0,0,0,7,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834740124418011497,"#DonaldTrump says He Won The Presidential Debate, #KamalaHarris says He'... https://t.co/BvrlmrtMEa via @YouTube",09-13-2024,0,0,0,9,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834740091673252273,"Drea de Matteo slams Taylor Swift's endorsement of Kamala Harris.

READ: https://t.co/Qq05FxaIOR

#DreaDeMatteo #KamalaHarris #taylorswift #swift #endorsement #viral #Election2024 #trending #explorepage https://t.co/UaRoqtVcFW",09-13-2024,7,0,9,1929,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834737779638473153,"#DonaldTrump says He Won The #Presidential #Debate, #KamalaHarris says He'... https://t.co/2TUD55Gj3T via @YouTube",09-13-2024,0,0,0,21,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834735147150618690,"It was awesome, another energy &amp; people-filled venue ready to cast their vote for Kamala Harris &amp; Tim Walz!💙🔥

#Pennsylvania #KamalaHarris",09-13-2024,2,0,6,108,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834732702475464756,@Evangels4Harris There is no way anyone with faith can vote for #KamalaHarris. Literally no way. Please consider your harm to so many with this false leading. https://t.co/Du0NfgaNJp,09-13-2024,0,0,0,3,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834729877221916835,"@EricLDaugh This is why they don't let her talk.  Unless she practices for 5 days with coaches. @ABC 
#KamalaHarris",09-13-2024,0,0,0,4,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834729659671429167,Thank you @KamalaHarris #kamalaharris @JoeBiden #joebiden #democrats https://t.co/QgrwpTi8wC,09-13-2024,0,0,0,27,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834728768478564665,"Trump slams Harris on Venezuelan gang criminal activity and CA government assistance for immigrants

READ: https://t.co/fTTC2e6x7s

#DonaldTrump #Trump #KamalaHarris #Harris #Election2024 #Border #BorderCrisis #Immigration #IllegalImmigration #US #Politics #News https://t.co/eXlPDYTMDN",09-13-2024,2,0,4,1334,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834727676160221436,@KamalaHQ #KamalaHarris plan is to finish destroying the USA #OHIO #Hatians https://t.co/ZSgtVNz9qz,09-13-2024,0,0,3,74,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834725374711955916,"Trump, in California, rips Harris for giving 'one of the dumbest answers' at the presidential debate #DonaldTrump #KamalaHarris #RIPS #Presidentialelection
https://t.co/h4izku0bFW",09-13-2024,0,0,0,6,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834724992052789346,"Caitlin Clark encourages voters to educate themselves while declining to endorse Harris

READ: https://t.co/7UHwP5lqUj

#CaitlinClark #Voters #Endorsement #DonaldTrump #Trump #KamalaHarris #Harris #Election2024 #Left #Democrat #Republicans #US #Politics #News #Viralvideo https://t.co/JYnt9qDG5p",09-13-2024,4,1,7,1894,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834720257384067409,"@DavidJHarrisJr Get this trending.
#KamalaHarris",09-13-2024,0,0,0,2,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834718726911885449,"🚨CHRISINFORMATION NEW EPISODE🚨 
@dailycaller Media Reporter @NicoleMSilverio joins ChrisInformation to discuss the latest in the run-up to the 2024 Presidential Election. Plus, I trash another sexist @TheMarySue article & More! #kamalaharris #presidentialdebates  @TheMarySue  #starwars #News #election2024 #trump2024 #mediabias #americafirst #ChrisInformation #DailyCaller #Media",09-13-2024,5,0,3,257,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834714158727884978,"Why is Kamala Harris always wearing sneakers??? She can't walk in professional looking shoes?? 
If Trump was wearing sneakers democrats would've saying it's because he's old 
#trumpvance24 
#TrumpHarrisDebate #Trump2024 #magaUNITED #trumpTrain #KamalaHarris #maga24",09-13-2024,0,0,1,14,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834708706606637248,"@Carlos__Turcios #KamalaHarris 
#KamalaDumpsterFire 
#Kamala2024Policies 

@ABC want to do any fact checking???",09-13-2024,0,0,0,5,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834706818838544498,"""See what happens when Black folks use common sense Logic, lol. Shout out to Lord Jamar ✊🏾""
#donaldtrump #kamalaharris #BlackLivesMatter #america #debate #kamala #trump https://t.co/Bjyf1BXgCU",09-13-2024,0,0,0,29,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834705051580866587,"Fun Fact: Kamala Harris has a rally in Pennsylvania at 6:30pm.

I’ll be watching the live stream from Kamala Harris’ YouTube🙌💙🔥

#KamalaHarris #Friday

https://t.co/kiQrX9qnm4",09-13-2024,0,0,1,177,1,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834698569783070895,"Hillary Clinton calls Kamala Harris's debate performance 'exhilarating' then imagines her inauguration

READ: https://t.co/pAvyVUskMY

#HillaryClinton #Clinton #DonaldTrump #Trump #KamalaHarris #Harris #Election2024 #PresidentialDebate #PresidentialDebate2024 #US #Politics #News https://t.co/5Z3aceJnLZ",09-13-2024,1,0,2,1192,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834695783922245749,Abortion is murder/slaughter. You are not a believer if you support the Democrats #democrats #georgia #kamalaharris #jesus #donaldtrump #debate #debate2024 @KamalaHarris @realDonaldTrump #tiktok https://t.co/tmfgipI2Yu,09-13-2024,0,0,0,32,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834694793068482881,"Political Analyst Harris Campaign Spokesperson suggests Trump doesn't talk about anything significant to voters

READ: https://t.co/VSbNR0Aq6e

#DonaldTrump #Trump #KamalaHarris #Harris #Election2024
#Left #Democrat #Republicans #US #Politics #News #Viralvideo #ViralVideos https://t.co/aOtRfbpfpY",09-13-2024,2,0,2,1471,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834694316616532177,"A week away from our #ManchesterCT show! Make sure to get your tickets soon, it’s going to be a fun night! #KamalaHarris #TimWalz 

https://t.co/nXcQG4vvPP",09-13-2024,1,0,6,397,1,,,NC,Democratic,KamalaHarris,#KamalaHarris
1834693200474189988,53 Days to go and this year Four Seasons was quick to avoid the fiasco of 4 years ago.#KamalaHarris #HarrisWalz2024 #TotalSeasons #FourSeasons https://t.co/yQA0NEKXv7,09-13-2024,0,3,0,12,0,,,NC,Democratic,KamalaHarris,#KamalaHarris
