id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1831466229166432696,"Former Rep. Liz Cheney, R-Wyo., said Wednesday she will vote for Democratic presidential nominee #KamalaHarris in the November election, arguing former President #DonaldTrump presents a unique threat to the nation. 
#news",09-04-2024,0,0,0,25,0,43.629311,-79.2725695,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1831463868411039841,"The campaign for Vice President #KamalaHarris believes that ABC #News debate rules will leave her ""fundamentally disadvantaged"" against former President #DonaldTrump.
#news",09-04-2024,0,0,0,22,0,43.629311,-79.2725695,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1831447013533323422,"Fun Fact: Did you know Kamala Harris said yesterday that she used to listen to 2Pac when she was in college. 🤔 She was in college 1986-1989 🤷 2 Pac was 10! 🤣 
#KamalaHarris #Trump #TheGreatestOfAllTime #TheGOAT #GOAT #poweroflovegr #bachelorette #Creamline #coronationstreet",09-04-2024,1,4,4,1736,0,40.0048655,-75.117998,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1831391108909129898,"Tampon Tim's family endorses @realDonaldTrump !!

Let those liberal tears flow woke Walz!😭

#trump #timwalz #presidenttrump #maga #kamalaharris #america #usa #elections #november #maga #makeamericagreatagain #donaldtrump https://t.co/5ZsP1FSQ41",09-04-2024,1,1,8,557,0,43.629311,-79.2725695,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1831210636933575023,"@newsbreakApp: [Video] Gold Star Families Put Out Statements Saying Kamala Harris Never Reached Out to Them #KamalaHarris #DonaldTrump #TheUSarmy
https://t.co/Z35K2vMNhQ",09-04-2024,1,0,0,10,0,40.102243,-74.946407,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1831128808973386008,"#America: #World in #Danger w/#VladimirPutin #Nuclear #Power #Threats-Voters: Imagine #KamalaHarris, #DEMS WizardofOz 2024 #Nominee Communicating with #Putin, #NATO &amp; #World #Leaders &amp; Remember the Peaceful World President Donald J. Trump Archived &amp; Cast Your Vote for #Trump2024! https://t.co/5bZXQjaiY1",09-04-2024,0,2,0,45,0,43.066929,-73.766756,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1818028756654846434,"Yep

Just doing her job 🙄 #KamalaHarris https://t.co/61bNKj10ym",07-29-2024,3,1,5,243,0,,,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1818053343010267297,"Because we were corrected on how to pronounce her name, I fixed the graphic to reflect the wishes of the Kamala campaign. #KamalaHarris #KumalaHarris https://t.co/H6pgWQ2CxR",07-29-2024,0,0,0,27,0,,,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1818064197659545979,Street Cred #KamalaHarris #vanillaIce https://t.co/UPe0uBZrjh,07-29-2024,1,0,5,120,0,,,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
1818036763862122992,"Inflation has hit grocery stores hard. Thanks, #JoeBiden and #KamalaHarris https://t.co/zoO7pwil9T",07-29-2024,42,41,450,6223,3,,,Pennsylvania,Democratic,KamalaHarris,#KamalaHarris
