id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1820867834047533365,"In 2017, California had the highest estimated number of homeless individuals in the nation. But yes let’s vote the most liberal Californian to run our country. #KamalaHarris",08-06-2024,0,0,0,31,0,42.9564115,-85.6411415,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1820697192883016186,"Kevin O’Leary Thwarts Laura Ingraham’s Attempt to Cast Harris Campaign as Being Bankrolled by Billionaires: ‘I’m Just Telling You the Facts’ #Billionaires #KamalaHarris #Presidentialelection
https://t.co/wXeJrnvdi3",08-06-2024,0,0,0,21,0,41.51955585,-88.14251150000001,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1821299983586300136,"90 days til we WIN this election!

Say it with your chest:

WE'RE NOT GOING BACK! 💙💙

#HarrisWalz2024 
#KamalaHarris 
#VoteBlue
#DNC2024
🇺🇸 https://t.co/hpWwSvAhwG",08-07-2024,1,0,2,39,0,41.833584450000004,-87.732013,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823466410603057488,"#KamalaHarris's mocked yesterday's interview  between @ElonMusk and @RealDonaldTrump calling them ""self-obsessed rich guys."" Her campaign suggested the interaction served to highlight their self-serving natures in the context of the upcoming election. Well d-uh.

#MAGA #Election2024",08-13-2024,0,0,1,42,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823507788410048974,"#KamalaHarris It's like she's watching President Trump take a test, and she's copying his test paper because she doesn't have the right answers.

#PoliticalPlagerism #TaxOnTips #CloseTheBorder #BorderCzar https://t.co/jeRk0eVHL3",08-13-2024,1,0,2,57,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823496192225108422,"Finally found the undoctored photo. Show this to your friends to prove they had a huge crowd. 

#KamalaHarris #HarrisWalz2024 #TurnTexasBlue https://t.co/VKMHEQwDNv",08-13-2024,0,1,1,161,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823477239595340272,"be careful w USAToday, if you try to post the story, they change the headline to 45 is ahead. 
#KamalaHarris 💙 https://t.co/llqbgt07Va",08-13-2024,0,0,1,15,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823474660446515223,So their rebuttal to the interview is that they refuse to call it “X”?   That’ll show ‘em. #KamalaandTim #Kamala  #KamalaHarris #TimWalz #DonaldTrump #DonaldJTrump #election https://t.co/B51I4mEupY,08-13-2024,0,1,2,83,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823450705987772639,"#KamalaHarris, #JoeBiden and #MargaretSanger's #PlannedParenthood have collectively done MORE to eradicate the black population than the #KKK ever dreamed of.👍🏾🇺🇸 https://t.co/o9J7WWAZXb",08-13-2024,0,0,0,36,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823496738365218875,"Vote Number 1 Kamala Harris to make us great er rear🇺🇸🇺🇸👌
#kamalaharris #usa🇺🇸 #trump2024 
This video has been take down by tiktok and YouTube already,I wonder why?🤔 @realDonaldTrump @elonmusk https://t.co/MffdD5tElh",08-13-2024,3,4,12,314,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823493805762601460,"The glamorous woman on the Essence cover was California's Attorney General for 6 years.
And that's before she was a US Senator from California and our Vice President. 
#KamalaHarris #HarrisWalz2024 We choose freedom. https://t.co/U6AcV5B6gS",08-13-2024,50,2,95,1455,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823472676213756002,"Border czar #KamalaHarris has caused death &amp; destruction! The so-called @VP violates the Constitution daily by INTENTIONALLY leaving the border open to INVASION! It’s led to a multi-pronged HEALTH, HUMANITARIAN, &amp; natl SECURITY disaster! #AmericaFirst  https://t.co/GHnCL4Pa3e",08-13-2024,1,0,1,7,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823489297686687832,#KamalaHarris....#AIPAC owned! https://t.co/9eudAB0YFd,08-13-2024,3,0,6,125,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823497733837349244,This glamorous woman on the cover of Essence was California's Attorney General for 6 years. And that's before she was a US Senator from California and our Vice President.  #KamalaHarris #HarrisWalz2024 #DemVoice1 We choose freedom. https://t.co/uMNEQT57nD,08-13-2024,53,6,86,1175,1,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823471371802042536,"🇺🇸🇮🇱American politician Dr. Jill Stein Exposes AIPAC.

THANK YOU @DrJillStein
#Trump #KamalaHarris https://t.co/Vj7WDwilG5",08-13-2024,4,2,8,307,1,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
1823495126984819193,"#KamalaHarris is incompetent. we need #Trump now more than ever! 
#Trump2024 #BorderCzarKamala https://t.co/CJ7glhCAkD",08-13-2024,2,1,23,895,0,,,Wisconsin,Democratic,KamalaHarris,#KamalaHarris
