id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1830025905953259949,@KamalaHarris Exactly why you waited until after Biden won the primary to stab him in the back. https://t.co/y2u5nvIkZU,08-31-2024,0,0,0,5,0,34.16825365,-111.93171085,Arizona,Democratic,KamalaHarris,Kamala
1830024687340192160,"@LauraLoomer @GovTimWalz @KamalaHarris Oh, and Kamala,. You're so trashy 🙄 😆 🤣",08-31-2024,0,0,0,3,0,34.16825365,-111.93171085,Arizona,Democratic,KamalaHarris,Kamala
1830018135875076550,"AMERICAN WOMEN.... WAKE UP !!! Democrats are CROOKED @KamalaHarris CROOKED @JoeBiden CROOKED @Tim_Walz 
https://t.co/CFKjWqddLm",08-31-2024,0,0,0,1,0,33.8250795,-116.51728940000001,Arizona,Democratic,KamalaHarris,Kamala
1830016646028935247,"@PhoenixxDowner @NeerajKrGoswami @KamalaHarris Or I could squish cow patties between my fingers and get the enlightenment.
I am not going to join your cult because of a video made by a moron who can't distinguish reality from bullshit.",08-31-2024,0,0,0,3,0,33.744323,-116.2845015,Arizona,Democratic,KamalaHarris,Kamala
1830011050668015741,"@POTUS Killed by the fentanyl that @JoeBiden and @KamalaHarris @KamalaHQ allowed into the country through the wide open border. 

We caused a problem, but look at us try to fix it! Same with inflation. Disgraceful. 

#KamalaDumpsterFire https://t.co/9U8dcK7Z7E",08-31-2024,0,0,1,11,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1829998430472835360,"@thehill @realDonaldTrump went to Arlington National at the invitation of the families to honor the 13. 

@KamalaHarris disrespected the families of the 13 by not going and never even calling them (and by killing their children because of her chaotic withdrawal). 

#KamalaDumpsterFire https://t.co/7CSAd2fA8Y",08-31-2024,0,0,2,9,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1829996712943108305,"@realrodsmart @8NewsNow @arco @JoeBiden @DNC Wrong, educate yourself. We had higher inflation than many countries because of @JoeBiden @KamalaHarris policies. Remember, in 2022 the U.S. was at 9%. Can't blame Covid. https://t.co/VXgjaissqI",08-31-2024,0,1,0,17,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1829981431378166188,@KamalaHarris @Tim_Walz Sorry girl.  It's time to unite America. https://t.co/RZYKZpXnFW,08-31-2024,3,0,22,368,0,33.7405385,-116.36129700000001,Arizona,Democratic,KamalaHarris,Kamala
1829980814706397284,@KamalaHarris @Tim_Walz Congratulations.,08-31-2024,0,0,0,12,0,34.418775499999995,-117.319094,Arizona,Democratic,KamalaHarris,Kamala
1829976910610514292,"REPOST if you are voting for Trump! 🇺🇸

Americans may be stupid, but Mexicans aren't!

All my Mexican friends are voting for Trump!

End the madness!

Vote for Trump! 🇺🇸 🇺🇸 🇺🇸

@ElonMusk @TuckerCarlson @BasedMikeLee
@KamalaHQLies
@KamalaHarris
@VP @POTUS
@benshapiro @seanhannity https://t.co/qS5zqmoWLP",08-31-2024,1,0,0,39,1,36.232915,-115.223125,Arizona,Democratic,KamalaHarris,Kamala
1829972944409542927,"REPOST if you are voting for Trump! 🇺🇸

Americans may be stupid, but Mexicans aren't!

All my Mexican friends are voting for Trump!

End the madness!

Vote for Trump! 🇺🇸 🇺🇸 🇺🇸

@ElonMusk @TuckerCarlson @BasedMikeLee
@KamalaHQLies
@KamalaHarris
@VP @POTUS
@benshapiro @seanhannity",08-31-2024,0,0,0,22,0,36.232915,-115.223125,Arizona,Democratic,KamalaHarris,Kamala
1829971228150595949,"@PhoenixxDowner @NeerajKrGoswami @KamalaHarris What the fuck does that have to do what we're talking about?
Biden/Harris didn't skip anything. 
Inmate #P01135809 instigated this. If you believe these families reached out to him 1st, I have an investment opportunity in dehydrated H2o to discuss with you. https://t.co/h0L3EyAstl",08-31-2024,0,0,1,28,0,33.744323,-116.2845015,Arizona,Democratic,KamalaHarris,Kamala
1829964692523270225,@KamalaHarris Stop being so emotional,08-31-2024,0,0,0,3,0,32.769690499999996,-117.01763,Arizona,Democratic,KamalaHarris,Kamala
1829961764223811593,@wiley_inc @KamalaHarris Another love approval https://t.co/inyyWopC7E,08-31-2024,0,0,1,13,0,33.198235600000004,-111.56051835,Arizona,Democratic,KamalaHarris,Kamala
1829961763166814479,"Another troubled drugstore chain files for Chapter 11 bankruptcy.

End the madness!

Vote for Trump! 🇺🇸 🇺🇸 🇺🇸

@ElonMusk @TuckerCarlson @BasedMikeLee
@KamalaHQLies
@KamalaHarris
@VP @POTUS
@benshapiro @seanhannity
https://t.co/BMhSEHGTH6",08-31-2024,0,0,0,11,0,36.232915,-115.223125,Arizona,Democratic,KamalaHarris,Kamala
1829960602934263976,@wiley_inc @KamalaHarris I see love 💕🙏 i think everybody is 😎 https://t.co/j1FobOLZqJ,08-31-2024,0,0,1,25,0,33.198235600000004,-111.56051835,Arizona,Democratic,KamalaHarris,Kamala
1829960323862053353,"Kamala Harris' Election Odds Slide With Bookmakers After CNN Interview.

End the madness!

Vote for Trump! 🇺🇸 🇺🇸 🇺🇸

@ElonMusk @TuckerCarlson @BasedMikeLee
@KamalaHQLies
@KamalaHarris
@VP @POTUS
@benshapiro @seanhannity

https://t.co/uP9qnfRmZd",08-31-2024,0,0,0,23,0,36.232915,-115.223125,Arizona,Democratic,KamalaHarris,Kamala
1829959152707518810,"'90 minutes of word salads': Ron DeSantis wades into Kamala Harris-Donald Trump debate dispute.

End the madness!

Vote for Trump! 🇺🇸 🇺🇸 🇺🇸

@ElonMusk @TuckerCarlson @BasedMikeLee
@KamalaHQLies
@KamalaHarris
@VP @POTUS
@benshapiro @seanhannity

https://t.co/AmoXx8Z0Sd",08-31-2024,0,0,0,17,0,36.232915,-115.223125,Arizona,Democratic,KamalaHarris,Kamala
1829958641015009460,"@wiley_inc @ShawnEs80835606 @ftebb @KamalaHarris Harris &amp; Biden are  responsible 
Not Everything is Trump's Fault .
 Love MAGA https://t.co/j6q1eV6Ssv",08-31-2024,0,0,1,30,0,33.198235600000004,-111.56051835,Arizona,Democratic,KamalaHarris,Kamala
1829957098907873408,"@ryankron94 @KamalaHQLies @KamalaHarris If you're referring to this being the 1st time she mentioned the fallen Afghanistan Heroes, here you go.
 https://t.co/5ytrLU6tKu",08-31-2024,0,0,0,4,0,33.744323,-116.2845015,Arizona,Democratic,KamalaHarris,Kamala
1819867997386981755,"@KamalaHQ I thought the @DNC and @KamalaHarris were opposed to misinformation and lies?? Where is Scary Poppins? @wiczipedia

The @realDonaldTrump rally is packed (and they didn't need a Megan the Stallion concert to do it). Where is Kamala on Fracking today? Yes or no?? https://t.co/IUd5aEzivc",08-03-2024,0,0,0,17,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1819837223170429184,@ewarren @KamalaHarris Say what!!!! https://t.co/XsWnswPolO,08-03-2024,0,0,0,25,0,34.491053199999996,-114.3106095,Arizona,Democratic,KamalaHarris,Kamala
1819835070984990940,@KamalaHarris See you at the debate with vance https://t.co/rlAYTQR6qH,08-03-2024,0,0,0,4,0,35.6565515,-105.99910650000001,Arizona,Democratic,KamalaHarris,Kamala
1819829349056671886,Ok with you?  @KamalaHarris #Kamala2024 #Kamala4President2024 @FoxNews @CNN @C__Herridge,08-03-2024,0,0,1,17,0,32.8100122,-117.10498915,Arizona,Democratic,KamalaHarris,Kamala
1819823218951082371,@PlanetOfMemes @KamalaHarris They won’t have to talk about their Marxist policies and massive failures which totally SUCK.,08-03-2024,0,0,0,28,0,36.006256,-115.03833685000001,Arizona,Democratic,KamalaHarris,Kamala
1819822286851146224,"@KamalaHQ @JoshShapiroPA Oh no! Kiss Michigan and Minnesota goodbye! 

What does Project 2025 say about the rampant anti-Semitism in the @DNC? 

#GenocideJosh #KamalaChameleon 
@KamalaHarris @KamalaHQ https://t.co/7gOyUAjJzl",08-03-2024,2,0,0,39,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1819819133204349389,"@JackPosobiec Please pick #GenocideJosh @JoshShapiroPA for @VP, @KamalaHarris!

#GenocideJosh is only trending because the @DNC @DNCWarRoom has a MASSIVE problem with anti-Semites in their party. Kiss Michigan &amp; Minnesota goodbye.

#KamalaChameleon 
#KamalaHarrisIsATerribleBorderCzar https://t.co/DZa4l0A3pz",08-03-2024,0,0,1,20,0,36.0609645,-115.1351649,Arizona,Democratic,KamalaHarris,Kamala
1819816724549779714,Part of the history @KamalaHarris would like to forget. #Paris2024 #Kamala2024,08-03-2024,0,0,0,15,0,32.8100122,-117.10498915,Arizona,Democratic,KamalaHarris,Kamala
1819816103599911231,@KamalaHarris STFU! Know one beleives a word you say!,08-03-2024,0,0,1,1,0,34.082496500000005,-118.39963895,Arizona,Democratic,KamalaHarris,Kamala
