id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1824940096212349106,@KamalaHarris You’ll bring our country to a screeching halt. https://t.co/YCcRc6TAoL,08-17-2024,0,0,0,6,0,35.714599,-81.2134265,NC,Democratic,KamalaHarris,Kamala
1824939596645327189,"@KamalaHarris Anything for Black America? Anything for Appalachia? Anything for poor and low wealth Americans? 

To be honest, the Middle Class is gone. We are all poor, except you, you are rich! 🤦🤦🤦 https://t.co/JU5Bac8tmS",08-17-2024,0,1,2,11,0,38.89860285,-77.0143985,NC,Democratic,KamalaHarris,Kamala
1824933864923447487,@TheDemocrats @KamalaHarris How are you going to do this? You have been in office for 3.5 years . And you have not done it yet.,08-17-2024,0,0,0,4,0,37.229291,-80.428864,NC,Democratic,KamalaHarris,Kamala
1824932690681798953,"A good point @realDonaldTrump made @MSNBC @cnn @FoxNews - he said 'joes gone, forget him':

At the dem convention @KamalaHarris you do not have luxury or time to do a Joe veneration session.

It is distracting, confusing to some, and won't help raise voter attention on the competition.

'that's not nice!'? - no, it's not. But it's probably best you proceed.

Some 80 odd days now, no distractions.

-- Ave Imperator, Figs the dandelion cultist",08-17-2024,0,1,0,19,0,38.788313,-77.234527,NC,Democratic,KamalaHarris,Kamala
1824920352805253486,"Oh, @KamalaHarris, @realDonaldTrump says you're fired and he won't take it anymore. AND you 'broke our supply-chain' (I suggest you do, lol).

Then people changed 'USA'. 

It's a barn dance that just keeps playing. I presume they do want a 'supply-chain' for the long term initiatives. Maybe that's what the children's manuals on American exceptionism are for?

Also, @realDonaldTrump says he's a better looking person than you are. And you're 'full communist, comrade kamala' 

(BTW @realDonaldTrump 'full communist comrade kamala' is the first name you've come up with that causes a chuckle, that one might stick)

-- Ave Imperator, Figs the dandelion cultist",08-17-2024,0,1,0,23,0,38.788313,-77.234527,NC,Democratic,KamalaHarris,Kamala
1824912373980795149,@mattkelley018 @realMABarreto @KamalaHarris Nationally he won them 65-33,08-17-2024,0,0,1,28,0,36.215092,-81.65789505000001,NC,Democratic,KamalaHarris,Kamala
1824910348354204118,@KamalaHarris So you worked your way through college and now want to enable brats giving up our hard earned money?,08-17-2024,0,0,1,7,0,34.9538488,-82.44183799999999,NC,Democratic,KamalaHarris,Kamala
1824909235031097800,@KamalaHarris Sounds like failed socialism to me Kamunism. https://t.co/lGo32bMs2t,08-17-2024,0,0,0,2,0,35.714599,-81.2134265,NC,Democratic,KamalaHarris,Kamala
1824893695684198575,I want to personally congratulate @KamalaHarris @VP for officially coming out as communist yesterday. That took guts! At least we know for sure where she stands. #MAGA #Trump2024,08-17-2024,0,1,1,16,0,35.8439812,-78.657837,NC,Democratic,KamalaHarris,Kamala
1824891751879881048,"@ModeofChoice @newsobserver @VP @GovTimWalz @KamalaHarris Uh, sure.",08-17-2024,0,1,0,10,0,35.1704985,-79.86103374999999,NC,Democratic,KamalaHarris,Kamala
