id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1821174787097686161,"Last night in the birthplace of American democracy, @KamalaHarris and @Tim_Walz launched their campaign to keep our country moving forward. 

Pennsylvania, I'm ready to fight like hell to elect our first Madam President and protect real freedom. Let's go to work! https://t.co/3XCgjPjGri",08-07-2024,10106,2002,60692,1006826,331,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820190236582056276,"Proud to join Chuck Hagel and other sensible Republicans in supporting @KamalaHarris for President. 

If you are a Republican who doesn't understand today's Republican Party, come join us.🤝 https://t.co/lB4uRpB1WG",08-04-2024,1503,305,5161,185489,52,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821438758689951783,"Dear @KamalaHarris . “If you want Trump to win” then keep doing what you’re doing. But don’t gaslight our community, silence us, then blame us for a failure of your own  Biden admin’s doing.",08-08-2024,1064,300,4568,99124,37,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821566033691316591,new picture from the @KamalaHarris rally 🥹 https://t.co/eRablQczwo,08-08-2024,3256,724,33474,543216,186,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1822062988297412898,"STATEMENT:  Culinary Union is proud to endorse @KamalaHarris and @Tim_Walz.

The path to victory runs through Nevada, and the Culinary Union will deliver Nevada for President Kamala Harris and Vice President Tim Walz. #WeVoteWeWin

https://t.co/kNZT965bzA https://t.co/t2cKdpbZFP",08-10-2024,3127,498,10496,680379,349,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1823338570104352884,"NEW EVIDENCE THAT @KamalaHarris WILL CONTINUE CRYPTO CRACKDOWN

her advisor choices suggest she will keep biden’s hostile attitude to crypto

harris is working w/ brian deese &amp; bharat ramamurti, 2 key anti-crypto officials from biden admin.. 

thread 🧵 https://t.co/1cMX4UtXXY",08-13-2024,946,192,2944,1342925,316,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820823082673606841,"Tim Walz doesn’t just talk the talk, he walks the walk. From delivering for working-class Americans to standing with the UAW on our picket line last year, we know which side he’s on. That’s why we’re going to send
@KamalaHarris and @Tim_Walz to the White House this November. https://t.co/uALOPL9LOJ",08-06-2024,4367,759,20876,492146,180,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820472109778481562,"Every day, @janeclimatepac and I work to elect leaders committed to a brighter future. That's why I'm proud to endorse @KamalaHarris for the next President of the United States — and I hope you'll join me in this historic fight for our future. https://t.co/s9sbqyehjD",08-05-2024,3546,829,20275,499634,127,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821238502589071585,"📍EAU CLAIRE, Wisconsin — Chants of “This is what democracy looks like” break out as thousands await @KamalaHarris https://t.co/7ZEWT5T9Sf",08-07-2024,6671,2024,27736,3419618,1475,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821731362745020873,"Welcome back to Arizona, @KamalaHarris. https://t.co/YoIK5uTUO7",08-09-2024,1814,398,18869,355012,39,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1824958724311773194,"@KamalaHarris You tried, and failed. Move aside. https://t.co/6hynw9GFVO",08-17-2024,0,0,0,3,0,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1822701213663809642,"I'm honored that whoever made the AI image of 15,000 excited Democrats welcoming @kamalaharris and @tim_walz to Detroit was kind enough to include me at the lectern 😂 That AI crowd was really loud, my ears just stopped ringing from their imaginary cheering #HarrisWalz2024 https://t.co/WnwfXBxVi8",08-11-2024,1607,250,8905,402100,60,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1824958574310957344,@KamalaHarris You FAILED the middle class https://t.co/6aGSLkZmeH,08-17-2024,0,0,0,4,0,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820070304418300372,"Republicans for @KamalaHarris launches w/ endorsements:

“former Trump White House officials Stephanie Grisham and Olivia Troye; former Secretaries Chuck Hagel and Ray LaHood; former Governors Jim Edgar, Bill Weld, and Christine Todd Whitman, and former Lt. Governor Geoff Duncan” https://t.co/1k96KcNEyk",08-04-2024,1996,683,5418,523889,178,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821231565000884448,Here’s another look at this crowd. People we spoke to saying they traveled across state lines to attend the rally for @KamalaHarris. Many expressing excitement to hear from @GovTimWalz as well. https://t.co/ShVhs75khK,08-07-2024,2453,1128,12083,528403,272,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1822687316642836895,"As usual, we geofenced UNLV's @ThomasAndMack Saturday August 10th for the @KamalaHarris and @Tim_Walz rally. 

17,134 mobile devices in total.

Devices were from all across the country: 

California
Washington
Oregon
Arizona
Nevada
New Mexico
Minnesota 
Colorado
Texas
Oklahoma
Georgia 
Alabama 
Mississippi 
Missouri 
New York
Florida

74 devices that are usually in Mexico. 

When we put the BLM/antifa overlay, with devices that were at 3 or more protests/riots, we identified 2,008. When we put the Hamas/Pro-Palestinian overlay, 1,132, again with lots of duplicates. Equal opportunity protestors.

This time, there were 404 subjects we have been tracking that are linked to trafficking NGOs, mules and cartels, including 4 linked to ‘No More Death’ aka No Más Muertes.",08-11-2024,3253,387,6156,201022,367,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820815181036883973,"Great pick, @KamalaHarris! I can’t wait for the rest of the country to get to know @Tim_Walz. Cheers to a ticket that’s going to energize people across the nation. 

IYKYK. https://t.co/1Ap8oEJLst",08-06-2024,323,395,4712,464380,137,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1822013033620656575,Proud to be @KamalaHarris' running mate and unofficial campaign photographer. 😎 https://t.co/G3Fk2C6t0h,08-09-2024,6687,2511,80729,1711570,455,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1821261144897499376,I just realized what @JDVance stalking @KamalaHarris at the airport reminded me of. https://t.co/LG5t7dJIY0,08-07-2024,1989,367,9175,148313,103,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1824063302332199178,🤣🤣🤣 Why U Hiding?? Ain’t Nobody Hiding That Lady MTFing Working!!!! @kamalaharris #Plies 🇺🇸 https://t.co/11JPLISg4b,08-15-2024,759,454,3465,84236,83,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820835010309435629,"I’ve been friends with Tim Walz for almost 20 years. And for more than five years, he’s been my partner in justice at the Minnesota Capitol.

He has the grit and the grace to keep our country moving forward alongside Kamala Harris.

Let’s get @KamalaHarris and @Tim_Walz elected! https://t.co/3QN829Kplo",08-06-2024,1887,445,15329,283661,80,,,Pennsylvania,Democratic,KamalaHarris,Kamala
1820490988059787320,"I support @KamalaHarris because a Harris administration will support

🇺🇸Reproductive Freedom
🏡Affordable Housing
💰Relief of student &amp; medical debt
💊Lowering prescription drug costs
🌳Pro-climate solutions
⚖️ No Presidential Immunity
🚌&amp; electric school buses

#WomenForHarris https://t.co/4HD97q5sEF",08-05-2024,1779,452,9986,476571,65,,,Pennsylvania,Democratic,KamalaHarris,Kamala
