id,tweet_text,created_at,retweetCount,replyCount,likeCount,viewCount,quoteCount,latitude,longitude,state,party,candidate,handle_or_hash
1829562480336523574,"This November, we have the chance to elect @KamalaHarris and @Tim_Walz – two people who will get up every single day to fight for you. And there’s no time to waste. Make sure you’re registered to vote at https://t.co/NKXRGNgbZX. https://t.co/baqyG7p4Wh",08-30-2024,31902,14727,176895,18347251,1453,,,Wisconsin,Democratic,KamalaHarris,Kamala
1829587473288306753,"#TrumpDishonorsUS 

We need a Commander In Chief who cares about our service members and veterans.  @KamalaHarris will be that Commander. 

Trump used the hallowed grounds of Arlington National Cemetery for an ad posted by his campaign, violating federal law.  His campaign staff verbally and physically abused a female staffer at Arlington who tried to intervene with their stunt.  In the face of blowback, Trump then blamed the Biden Administration for his disgraceful behavior.  

He does not deserve the honor or trust to command our armed services.",08-30-2024,1425,535,3543,165277,102,,,Wisconsin,Democratic,KamalaHarris,Kamala
1827366033503437116,.@KAMALAHARRIS STOP THE GENOCIDE NOW. https://t.co/wTeDbjLY84,08-24-2024,5305,708,16940,267704,201,,,Wisconsin,Democratic,KamalaHarris,Kamala
1829253661979291723,"Why are some people so desperate to put a wedge between #MAGA &amp; #MAHA?

Simple they want @KamalaHarris to win, don’t let the tricksters distract you from uniting to deny KAMALA the White House. 

I love my new #MAGA FAMILY &amp; I am grateful for the new friends I’ve made. #MAGHA 💪🏽 https://t.co/UJ8H7qpQ7y",08-29-2024,1795,537,7114,54271,80,,,Wisconsin,Democratic,KamalaHarris,Kamala
1829925981358080236,@KamalaHarris This is from a political ad Biden/Harris did for 2020. Shutty. https://t.co/a7OpIzEGnF,08-31-2024,659,473,7508,372548,53,,,Wisconsin,Democratic,KamalaHarris,Kamala
1826118574806634531,"This was a very special moment. An honor to preside over our ceremonial roll call today. 

I cannot wait til we elect @KamalaHarris and @Tim_Walz in November!",08-21-2024,2685,1063,27442,684950,77,,,Wisconsin,Democratic,KamalaHarris,Kamala
1829839929519571334,"What a perfect song for @kamalaharris’ campaign! 🔊🔊🔊How gracious of @NancySinatra to offer it! 
Raise a #KamalalatteForFreedom to Nancy! Indeed. This is a slam dunk for the campaign.

#YesWeKam
#DemsUnited https://t.co/Q0hCMtlieY",08-31-2024,2208,230,6288,108342,100,,,Wisconsin,Democratic,KamalaHarris,Kamala
1825179869631881389,"This mural of @KamalaHarris hanging outside of the United Center in Chicago is so beautiful! 🥹

📸: Joe Raedle https://t.co/zehjN5Tbt7",08-18-2024,2819,426,21170,215127,64,,,Wisconsin,Democratic,KamalaHarris,Kamala
1830032265876828411,@KamalaHarris Shutup coward. https://t.co/e5JY8x1Tkm,08-31-2024,0,0,0,9,0,,,Wisconsin,Democratic,KamalaHarris,Kamala
1829611420197273763,"Who remembers John Davidson? Here he is singing Kamelot for @KamalaHarris! 

Americans are ready for a new way forward,  one filled with joy and hope. #KamalasJoyWins

#DemsUnited
#DemCast https://t.co/iXDlfHmpSZ",08-30-2024,3589,684,15309,386449,227,,,Wisconsin,Democratic,KamalaHarris,Kamala
1826789597600256189,"Jill and I just spoke to @KamalaHarris — we can’t wait to watch her accept this historic nomination.  

Kamala and Tim will inspire a generation and lead us into the future. https://t.co/guKuTevT8F",08-23-2024,18081,14053,153530,7578950,1767,,,Wisconsin,Democratic,KamalaHarris,Kamala
1827774497900130678,"A tiny thing from the convention that seems to have stuck with a lot of my family members was @KamalaHarris’ aunt dressed in a sari and hugging our future President on stage.

Never thought we’d see the day 🥲 https://t.co/i7KxeKJwkY",08-25-2024,2943,331,29000,546297,76,,,Wisconsin,Democratic,KamalaHarris,Kamala
1825711256130695355,Beyoncé sings “FREEDOM” a cappella in new campaign spot for @KamalaHarris.  https://t.co/tgPeiEK3RI,08-20-2024,7822,207,42047,1434148,580,,,Wisconsin,Democratic,KamalaHarris,Kamala
1826473120166814010,"Mankato West football alums who played for Coach Walz were on stage to introduce him. They gave him a signed game ball after his speech. He is the best of us, and I’m so damn proud to be on @KamalaHarris’s team with him. https://t.co/QOya89fI5y",08-22-2024,3597,362,26658,419953,101,,,Wisconsin,Democratic,KamalaHarris,Kamala
1827844410534469805,"Why did so many more people watch @KamalaHarris and the DNC than @realDonaldTrump and the RNC?

Does Trump know he got a smaller crowd than Kamala? Is he tossing bottles of ketchup? https://t.co/FG4AJKLEIe",08-25-2024,740,2097,3105,248468,79,,,Wisconsin,Democratic,KamalaHarris,Kamala
1825717537839218704,"I would run through a wall for @AOC and this right here is why. I am so happy that @KamalaHarris knew to put her on the big stage in primetime. When you have generational talent on your side, you make damn sure she's in the game when it matters. #DNCConvention2024 #dnc2024 https://t.co/vjaezMfWEN",08-20-2024,2581,1428,29341,1262961,167,,,Wisconsin,Democratic,KamalaHarris,Kamala
1825864956111118560,"To mark the #DemocraticConvention #DNC2024 #DNC we've had fun adapting @Eddy_Grant's gloriously hopeful international anti-apartheid anthem from 1988.

So here's 🎶 ""Gimme Hope Kamala"" - a parody twist about @KamalaHarris 💙 vs #DonaldTrump 🍊 that pulls no punches. https://t.co/LHyTe5Gjcq",08-20-2024,4163,670,11207,686594,777,,,Wisconsin,Democratic,KamalaHarris,Kamala
1828204839794291071,"Huge crowd in Door County, WI — one of the swingiest counties in America — to hear from @ewarren on @KamalaHarris’ plan to lower costs. https://t.co/UNS055crjI",08-26-2024,1425,1246,8673,282930,57,,,Wisconsin,Democratic,KamalaHarris,Kamala
1826712192965902659,"#TaylorSwift is in Chicago, and the scuttlebutt is that she may make an appearance at the DNC this evening and to endorse @KamalaHarris.

Swift endorsed Biden and Harris weeks before the election in 2020.

Please follow me @electroboyusa for updates and please retweet! https://t.co/DNmRyFcaXd",08-22-2024,1669,336,10364,956055,175,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834561654224265645,"Veep @KamalaHarris says she does now not want to ban fracking if true why has her admin not lifted the moratorium on exporting liquid natural gas? 
THAT is a BAN
Doesn’t just hurt the industry it hurts farmers, tax base  &amp; wildly unpopular in Pennsylvania

https://t.co/tZ2VVxGJrH",09-13-2024,448,46,946,82010,15,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833975757942521998,"I'm one of the 81 Million and I'm going to do it again!  Tag someone else and pass it along: @abreezeclayton 

@TheDemocrats #HarrisWalz @KamalaHarris @Tim_Walz https://t.co/g80pF90RHC",09-11-2024,27,6,113,25330,2,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834330996881129737,.@KamalaHarris is charting a new way forward in Charlotte and across the country. https://t.co/pgHBQTirTN,09-12-2024,122,9,612,6008,3,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834668315261731059,"Five Alarming Facts About @KamalaHarris' Pro-Crime Agenda:
https://t.co/isqn7dwOcd
#CantAffordKamala https://t.co/667lfWkbHQ",09-13-2024,9,17,14,14748,0,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833851485626442225,"If @KamalaHarris wins the presidency, situations like this will only become more frequent. Even after last night’s debate, she still hasn’t taken action to secure the border. I’m not surprised—are you? Incidents like these are a result of illegal immigrants being here due to the policies of the current vice president.",09-11-2024,173,18,153,4452,4,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833983884238749990,"She’s done it before, and she’ll do it again. @KamalaHarris is holding Big Oil accountable—fighting against gouging Americans at the pump, and protecting our wallets and the planet. https://t.co/8ZqhDXrWpI",09-11-2024,5,3,7,1212,0,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834210738069475651,"A little something that should brighten your day @KamalaHarris &amp; @DavidMuir 

Since you both find this type of suffering, misery of people/animals amusing I'm sure you'll enjoy this.
After all, it's just a ""myth"". https://t.co/qD6sb2GAFx",09-12-2024,148,8,118,5248,5,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834375935895937244,"I don’t have a cat, so a dog will have to do! But like Taylor Swift I’m all in for @KamalaHarris &amp; @Tim_Walz ! #VoteBlue 

Double check your own voter registration and find local early voting dates here: https://t.co/HzH35dTifv https://t.co/nqwFvp5hLT",09-12-2024,14304,0,88883,2523924,1010,,,Wisconsin,Democratic,KamalaHarris,Kamala
1835091776152936491,"Hey @KamalaHarris, look familiar? https://t.co/OZFUlGJBpC",09-14-2024,294,875,4337,107683,54,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833867748104978604,"CNN’s Daniel Dale fact checked Donald Trump’s answers at the debate &amp; found him to be “staggeringly dishonest.”   

That sums it up pretty well. 

@ddale8 @NewsCentralCNN @JohnBerman #Harris @KamalaHarris #WeAreNotGoingBack #debate2024 @KamalaHQ 
https://t.co/oIXVQy4tpc",09-11-2024,20,13,40,2927,1,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833748894225748451,@LauraLoomer @KamalaHarris Meanwhile! https://t.co/r6Z9JlhmQS,09-11-2024,599,137,3175,65714,31,,,Wisconsin,Democratic,KamalaHarris,Kamala
1835004602124476848,@KamalaHarris You said 18-24 year olds are stupid https://t.co/BX11nzesnG,09-14-2024,1506,300,6513,74833,177,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834695115212046441,"I’m a Californian and fully agree with @realDonaldTrump - @GavinNewsom and @KamalaHarris have jointly destroyed what long-made California a dream. 

It has become a dystopian nightmare of progressive policies. 

Gone are the days where you feel safe and thriving in California. It’s a wasteland of crime, homelessness, high taxes, and open air drug markets.",09-13-2024,86,37,542,9910,10,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834323888492478533,BREAKING: @realDonaldTrump declines to debate @KamalaHarris again. https://t.co/yJ5mMTPLuZ,09-12-2024,121,10,211,3313,11,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834743667933782478,"Ukrainian and my fellow Polish Americans, there was only 1 presidential candidate on the debate stage who will stand with Ukraine and Poland: @KamalaHarris. Donald Trump would let Putin do whatever he wanted. If you want a free Ukraine and Poland you must vote for @KamalaHarris. https://t.co/tRZpWbTQ2T",09-13-2024,11,79,68,8265,4,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834158847876792390,"It's going to be a #Babes against @KamalaHarris kinda day!! #GFYS 🖕The only way to save our constitutional republic, is to vote for @realDonaldTrump ❤️🇺🇲 https://t.co/WEustag2Gk",09-12-2024,20,50,173,1794,1,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833914602524213504,"When @KamalaHarris was writing down notes, I believe someone was in her ear telling her what to say.

PROVE ME WRONG‼️

 https://t.co/OZH8EupnKt",09-11-2024,1692,119,3060,43197,55,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834595879958741177,"Thrilled to join @JewishDemsOfWis last night!

We all agree, @kamalaharris and @tim_walz are the best people to move our nation forward and represent our shared Jewish values.

Thank you Chair Linda Frank for hosting. Let’s win this! https://t.co/WCrsdZufFa",09-13-2024,6,11,10,1417,0,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833506171866460454,".@realDonaldTrump is more deranged, more unhinged, and honestly more uninteresting than he ever has been.

His audiences at rallies don’t even pay attention anymore.

@KamalaHarris is a breath of fresh air. https://t.co/PezBV9mvVd",09-10-2024,3698,4289,17279,652834,274,,,Wisconsin,Democratic,KamalaHarris,Kamala
1832822496556425335,"One day, two cities: Greensboro, are you ready for @KamalaHarris?

Sign up to attend the rally on September 12th at https://t.co/6K7RKQH1Ud 💫 https://t.co/aPB0EuOsHf",09-08-2024,1508,417,4950,112055,52,,,Wisconsin,Democratic,KamalaHarris,Kamala
1832859168958742607,Please do something @treepaine @JoeBiden @KamalaHarris @olivegarden @DanceMomHolly https://t.co/XuEEkIy8zq,09-08-2024,752,199,16928,486296,160,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834823804301819915,"💣 Now 𝙩𝙝𝙞𝙨 is what you call a 𝐅𝐀𝐂𝐓 𝐂𝐇𝐄𝐂𝐊!💥

.@VP .@KamalaHarris YOU’RE A 𝙨𝙩𝙧𝙖𝙞𝙜𝙝𝙩 𝙪𝙥  LI-YAH! 🤥

I feel a new nickname coming...

Seriously she gives me so much material for jabs! 

What are you guys think of “the Pinocchio Pantsuit Princess?”👸🏽🤣 https://t.co/e5zzuSIC7E",09-14-2024,472,29,752,18759,25,,,Wisconsin,Democratic,KamalaHarris,Kamala
1831798649917206943,🚨🚨: BREAKING NEWS! Colt Gray was a @KamalaHarris supporter who’s X bio read “Kamala 2024 end all MAGAts”. I DEMAND that @KamalaHQ come out and denounce this radical leftist and admit guns aren’t the problem! https://t.co/zCKyvE3j5b,09-05-2024,2130,292,4176,251286,204,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834320308376879522,"my neighbors have a message for Maryland 

@KamalaHarris @AlsobrooksForMD https://t.co/ZbhpXnAbHq",09-12-2024,451,25,998,14300,11,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833702600572539254,"The @KamalaHarris social media team. 💙

Grateful to work with these joyful warriors. https://t.co/PoNGlcdQJI",09-11-2024,3379,2696,38316,628287,407,,,Wisconsin,Democratic,KamalaHarris,Kamala
1832965355494609306,"This is absolutely beautiful! 
@KamalaHarris put her policies up on her site. 
She also added Project 2025’s for comparison. 

Fucking brilliant! https://t.co/Mso3IOtioM",09-09-2024,3365,818,8462,165366,78,,,Wisconsin,Democratic,KamalaHarris,Kamala
1831041727676940632,"The @KamalaHarris Campaign doing a rolling trolling of @realDonaldTrump this afternoon. After a West Palm event, a ""Reproductive Freedom"" campaign bus did at least one lap around the former president's Mar-a-Lago estate. High security presence suggests Trump may have been home. https://t.co/1tERhMfoTR",09-03-2024,1593,597,6006,244757,105,,,Wisconsin,Democratic,KamalaHarris,Kamala
1835031213515694590,"Here is the dumpster fire interview that @KamalaHarris does not want you to see from her first SOLO PRIMETIME FRIDAY NIGHT INTERVIEW. This is being HEAVILY CENSORED! Share this out so the world can see the joyless angry ill equipped coached rehearsed woman who who is trying to convince the world she went from the most unlikable VP in history to the media star the media has built her up to be!  
#Elections2024",09-14-2024,4790,340,6213,261548,222,,,Wisconsin,Democratic,KamalaHarris,Kamala
1834000138890547435,"Hey @KamalaHarris this is what a real President and leader looks like! 🇺🇸🍊💪🏻💯 🇺🇸@realDonaldTrump🇺🇸 #Trump2024 #MAGA2024 #KamalaDumpsterFire
#KamalaDestroysAmerica https://t.co/HwheGKRvIa",09-11-2024,26,5,100,4206,2,,,Wisconsin,Democratic,KamalaHarris,Kamala
1833290778132492451,.@KamalaHarris is worried people will find out who she really is tomorrow. Kamala isn’t flip-flopping on all her positions- she’s lying to get elected because she’s a fraud. https://t.co/wFO2NxOhM1,09-09-2024,5694,1109,22939,358273,150,,,Wisconsin,Democratic,KamalaHarris,Kamala
